Text	Season	Episode
♪ Ba-ba ba-ba-ba ♪	1	1
♪ Ba-ba ba-ba-ba ♪	1	1
♪ Ba-ba ba-ba-ba ♪	1	1
♪ Ba-ba-ba ba-ba-ba ba ♪	1	1
♪ I've never wanted ♪	1	1
♪ Wealth untold ♪	1	1
♪ My life has one design ♪	1	1
♪ A simple little ♪	1	1
♪ Band of gold ♪	1	1
♪ To prove that you are mine ♪	1	1
Finished, sir?	1	1
 Yeah. Hey, do you have a light?	1	1
♪ I don't want the world to have and hold ♪	1	1
♪ For fame is not my life ♪	1	1
Old Gold man, huh?	1	1
Lucky Strike here.	1	1
Can I ask you a question? Why do you smoke Old Gold?	1	1
I'm sorry, sir. Is Sam here bothering you?	1	1
He can be a little chatty.	1	1
No, we're actually just having a conversation.	1	1
Is that okay?	1	1
Can I get you another drink?	1	1
Yeah. Do this again. Old-fashioned, please.	1	1
So you obviously need to relax	1	1
after working here all night.	1	1
 I guess. I don't know.	1	1
But what is it? I mean, low-tar?	1	1
Those new filters?	1	1
Why... I mean... Why Old Gold?	1	1
They gave 'em to us in the service...	1	1
A carton a week for free.	1	1
So you're used to 'em, is that it?	1	1
Yeah. They're a habit.	1	1
I could never get you to try another brand...	1	1
Say, my Luckies?	1	1
I love my Old Golds.	1	1
All right, well, let's just say tomorrow	1	1
a tobacco weevil comes	1	1
and eats every last Old Gold on the planet.	1	1
That's a sad story.	1	1
It's a tragedy.	1	1
Would you just stop smoking?	1	1
I think I could find something.	1	1
I love smoking.	1	1
"""I love smoking."" That's very good."	1	1
My wife hates it.	1	1
Reader's Digest says it will kill you.	1	1
Yeah, I heard about that.	1	1
Ladies love their magazines.	1	1
Yes, they do.	1	1
♪ Just want ♪	1	1
♪ A little band of gold ♪	1	1
♪ To prove that you are mine ♪	1	1
♪ Ba-ba ba-ba-ba ♪	1	1
♪ Ba-ba ba-ba-ba ♪	1	1
♪ Ba-ba ba-ba-ba ♪	1	1
♪ Ba-ba-ba ba-ba-ba ba ♪	1	1
You weren't worried about waking me, were you?	1	1
Am I interrupting anything?	1	1
Mmm, no.	1	1
You're lucky I'm still up working	1	1
and I'm alone.	1	1
How's it going?	1	1
They invented something called Grandmother's Day.	1	1
That ought to keep me busy drawing puppies	1	1
for a few months.	1	1
Can I run a few ideas past you?	1	1
Does that mean what I think it means?	1	1
Because I'm familiar with most of your ideas.	1	1
I'm having a situation with my cigarette account.	1	1
Wow, you really are here to talk.	1	1
The Trade Commission is cracking down	1	1
on all of our health claims.	1	1
I get Reader's Digest.	1	1
This is the same scare you had five years ago.	1	1
You dealt with it.	1	1
I know I slept a lot better,	1	1
knowing doctors smoke.	1	1
Well, that's just it.	1	1
"The whole ""safer cigarette"" thing is over."	1	1
No more doctors, no more testimonials,	1	1
no more cough-free, soothes your T-zone,	1	1
low-tar, low-nicotine, filter tip.	1	1
Nothing.	1	1
All I have is a crush-proof box	1	1
"and ""four out of five dead people smoke your brand."""	1	1
Is this the part where I say,	1	1
"""Don Draper is the greatest ad man ever,"	1	1
"""and his big, strong brain will find a way"	1	1
